Fighter_iD,Name,Record,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
2686,Anthony Romero, 8-0-0,"5' 11""",155,"70""",Orthodox,"Feb 25, 1997",5.87,52,4,65,2,22,100,0
2687,Mike Ricci, 11-5-0,"6' 0""",155,"76""",Southpaw,"Mar 18, 1986",1.8,32,1.64,65,0.67,100,54,0
2688,Rong Zhu, 17-4-0,"5' 9""",155,"71""",Orthodox,"Mar 07, 2000",2.8,40,6.4,45,3,75,100,0
2689,Juancamilo Ronderos, 4-1-0,"5' 4""",125,--,,"Feb 17, 1995",4.78,34,3.91,67,0,0,0,0
2690,Charles Rosa, 13-5-0,"5' 9""",145,"69""",Switch,"Aug 24, 1986",3.11,37,3.78,48,1.76,32,40,1
2691,Ed Ratcliff, 7-3-0,"5' 10""",155,"71""",Orthodox,"Mar 05, 1983",2.71,38,2.96,63,0.28,16,53,0
2692,John Renken, 18-28-4 (1 NC),"6' 0""",190,--,Orthodox,--,0,0,0,0,0,0,0,0
2693,Herman Renting, 1-3-0,"6' 0""",215,--,Switch,--,0,0,0,0,0,0,0,0
2694,Alvin Robinson, 15-9-0,"5' 9""",155,"68""",Southpaw,"Jul 16, 1982",1.57,50,1.29,51,1.24,50,25,1.2
2695,Aaron Riley, 30-14-1,"5' 8""",155,"69""",Southpaw,"Dec 09, 1980",3.45,34,3.78,61,1.18,34,60,0.1
2696,Davi Ramos, 10-4-0,"5' 6""",155,"70""",Orthodox,"Nov 05, 1986",2.64,37,3.44,56,1.95,40,83,0.6
2697,Francisco Rivera, 11-7-0 (1 NC),"5' 8""",135,"70""",Orthodox,"Oct 08, 1981",4.07,41,3.16,68,1.01,63,68,0.6
2698,Nick Rossborough, 26-19-1,"6' 5""",205,--,,"Nov 18, 1981",2.8,35,4.33,35,0,0,100,0
2699,Joey Roberts, 4-3-0,"6' 2""",200,--,,--,0,0,0,0,0,0,0,0
2700,Paul Redmond, 12-7-0,"5' 10""",145,--,Orthodox,"Oct 20, 1986",0.72,34,2.99,41,0,0,50,0
2701,Damonte Robinson, 6-1-1,"6' 0""",155,"77""",,"Jun 10, 1995",0,0,0,0,0,0,0,0
2702,Kali Robbins, 6-3-0,"5' 3""",115,"63""",Orthodox,"Jul 05, 1984",3.73,46,9.4,44,2,33,0,0
2703,Gregory Rodrigues, 8-3-0,"6' 3""",185,"75""",Orthodox,"Feb 17, 1992",4.91,48,3.18,65,2.6,50,100,0
2704,Shavkat Rakhmonov, 13-0-0,"6' 1""",170,"77""",Orthodox,"Oct 23, 1994",2.79,52,1.93,50,0,0,100,3.2
2705,Matthew Riddle, 8-3-0 (2 NC),"6' 1""",170,"76""",Southpaw,"Jan 14, 1986",3.01,42,2.74,54,3.51,50,89,0.5
2706,Mark Robinson, 1-0-0 (1 NC),"6' 0""",265,--,Orthodox,--,0,0,5.8,13,0,0,0,0
2707,Goran Reljic, 15-8-0,"6' 3""",205,"81""",Southpaw,"Mar 20, 1984",1.69,37,2.69,59,1.69,50,33,1.1
2708,Alex Ricci, 10-5-0,"5' 11""",155,--,Orthodox,"Jul 21, 1982",2.48,41,2.53,64,0,0,64,0
2709,Karl Roberson, 9-4-0,"6' 1""",185,"74""",Southpaw,"Oct 04, 1990",2.87,51,2.38,57,0.92,57,45,0.7
2710,Colin Robinson, 10-12-0,"6' 4""",243,--,Orthodox,"Nov 27, 1968",6.19,69,7.91,37,2.58,100,50,5.2
2711,Mike Rodriguez, 11-6-0 (1 NC),"6' 4""",205,"82""",Southpaw,"Nov 28, 1988",4.61,59,3.39,40,0,0,41,0
2712,Shane Roller, 11-7-0,"5' 10""",155,"72""",Orthodox,"Jul 14, 1979",2.04,34,2.65,60,2.46,33,42,1.9
2713,Marcelo Rojo, 16-8-0,"5' 8""",145,"71""",Orthodox,"Jul 02, 1988",5.1,36,7.3,51,1.03,50,100,0
2714,Ricardo Romero, 11-3-0,"6' 0""",205,"76""",Orthodox,"Apr 15, 1978",2.17,55,4.77,46,1.63,10,100,3.3
2715,Khalil Rountree Jr., 9-5-0 (1 NC),"6' 1""",205,"76""",Southpaw,"Feb 26, 1990",3.06,38,3.63,49,0,0,50,0.2
2716,Gideon Ray, 17-15-1,"5' 10""",185,--,Southpaw,"May 27, 1973",2.08,40,2.58,53,1.49,100,0,0
2717,Mario Rivera, 6-8-0,"5' 10""",170,--,,--,0,0,8.41,20,0,0,0,0
2718,Hussain Rasouli, 2-3-0,"5' 6""",135,--,,--,0,0,0,0,0,0,0,0
2719,Kleydson Rodrigues, 6-1-0,"5' 6""",125,--,,"Oct 22, 1995",0,0,0,0,0,0,0,0
2720,Ben Reiter, 17-2-1,"6' 3""",185,--,,"Jun 27, 1987",1.8,46,1.53,54,7,43,0,0
2721,Ryan Roberts, 21-12-1 (1 NC),"5' 6""",155,--,Orthodox,"Jul 16, 1978",0,0,22.5,45,0,0,0,0
2722,Chad Robichaux, 13-2-0,"5' 4""",135,--,,"Aug 18, 1975",0,0,0,0,0,0,0,0
2723,Marina Rodriguez, 14-1-2,"5' 6""",115,"65""",Orthodox,"Apr 29, 1987",4.89,48,3.24,54,0.28,33,62,0.1
2724,Ricky Rainey, 12-6-0,"6' 1""",170,"77""",Switch,"Jun 29, 1983",2.55,48,2.62,46,0.95,18,55,0
2725,Yoel Romero, 13-5-0,"6' 0""",185,"73""",Southpaw,"Apr 30, 1977",3.44,49,3.05,60,1.57,30,78,0
2726,Moise Rimbon, 23-11-3,"5' 10""",205,--,Orthodox,"Apr 20, 1977",0.8,34,1,71,1,50,37,0
2727,Tyrone Roberts, 43-12-1,"5' 9""",185,--,Orthodox,--,0,0,0,0,0,0,0,0
2728,Philip Rowe, 7-3-0,"6' 3""",170,"80""",Orthodox,"Jul 18, 1990",4.99,60,5.34,51,1.19,33,25,0
2729,Shannon Ritch, 56-83-0 (4 NC),"5' 9""",190,--,Orthodox,"Sep 27, 1970",1,100,6,50,0,0,0,0
2730,Aaron Rosa, 18-6-0,"6' 4""",205,"77""",Orthodox,"May 28, 1983",4.03,47,4.41,45,0.36,33,85,0.4
2731,Murilo Rua, 20-13-1,"5' 11""",185,--,Orthodox,"May 22, 1980",2.48,45,1.85,53,1.97,45,37,1.2
2732,Kevin Roddy, 15-16-1 (1 NC),"5' 11""",145,--,,--,2.64,30,2.38,60,0,0,50,0
2733,Gillian Robertson, 9-6-0,"5' 5""",125,"63""",Orthodox,"May 17, 1995",2.01,49,2.52,51,2.54,47,16,0.9
2734,Kyle Reyes, 15-7-0,"5' 8""",145,--,,--,0,0,0,0,0,0,0,0
2735,Joe Ray, 13-0-0,--,170,--,,"Dec 17, 1984",0,0,0,0,0,0,0,0
2736,Amanda Ribas, 10-2-0,"5' 3""",125,"66""",Orthodox,"Aug 26, 1993",4.25,44,1.78,71,2.31,58,85,1.6
2737,Kenny Robertson, 15-5-0,"5' 10""",170,"74""",Orthodox,"Feb 14, 1984",3.72,47,3.02,52,1.37,26,57,0.8
2738,Albert Rios, 13-6-0,"5' 8""",145,--,,--,0,0,0,0,0,0,0,0
2739,Lucrezia Ria, 8-2-0,"5' 6""",125,--,Orthodox,"Jun 24, 1992",4.07,46,4.4,45,1,33,0,0
2740,Danny Roberts, 17-5-0,"6' 1""",170,"74""",Southpaw,"Jul 14, 1987",3.41,44,3.08,55,0.18,6,53,0.4
2741,Hilarie Rose, 4-2-0,"5' 3""",115,"63""",Orthodox,"Nov 11, 1992",2.33,33,6.13,44,0,0,100,0
2742,Kevin Rosier, 2-6-0,"6' 4""",275,--,Orthodox,--,0,0,0,0,0,0,0,0
2743,Ronda Rousey, 12-2-0,"5' 7""",135,"66""",Orthodox,"Feb 01, 1987",4.17,52,4.14,44,6.26,68,50,4.8
2744,Marco Ruas, 9-4-2,"6' 1""",210,--,Orthodox,"Jan 23, 1961",0,0,0,0,0,0,0,0
2745,Matt Ricehouse, 6-1-0,--,155,--,,"Mar 11, 1987",3.7,44,4.8,47,1,22,81,0
2746,Greg Rebello, 24-8-0,"6' 0""",240,"73""",Southpaw,"Jun 13, 1982",2.61,39,2.92,58,0,0,0,0
2747,Jason Reinhardt, 20-3-0,"5' 6""",135,--,Orthodox,"Oct 31, 1969",0.51,40,4.07,43,1.91,12,50,0
2748,Alexandr Romanov, 14-0-0,"6' 2""",262,"75""",Southpaw,"Dec 11, 1990",3.68,44,1.47,43,4.75,61,20,1.8
2749,Amir Rahnavardi, 11-10-0,"6' 0""",205,--,Orthodox,"Dec 07, 1974",0.67,25,0,100,0,0,50,0
2750,Rex Richards, 7-2-0,"6' 5""",265,--,,--,17.65,58,5.29,72,0,0,0,0
2751,Nick Ring, 14-4-0,"6' 0""",185,"74""",Southpaw,"Feb 10, 1979",3.52,42,3.48,62,1.36,36,52,0.3
2752,Rafael Rebello, 9-4-0,"5' 5""",135,"67""",Orthodox,"Oct 16, 1980",2.19,32,3.29,58,2.82,33,75,0.5
2753,John Richard, 3-5-1,--,205,--,,"May 22, 1982",0,0,0,0,0,0,0,0
2754,Vernon Ramos Ho, 3-1-0,"5' 6""",170,--,Orthodox,"Jun 03, 1992",4,25,8,55,0,0,0,0
2755,Tabatha Ricci, 5-1-0,"5' 1""",125,"61""",Orthodox,"Feb 21, 1995",2.13,18,10.5,51,0,0,0,0
2756,Keenan Raymond, 3-3-0,--,165,--,,--,0,0,0,0,0,0,0,0
2757,Rick Roufus, 4-6-0,"6' 0""",207,--,Southpaw,--,0.53,33,1.06,33,0,0,50,0
2758,Ricco Rodriguez, 53-25-0 (1 NC),"6' 4""",265,--,Orthodox,"Aug 19, 1977",1.85,51,1.15,61,2.3,39,40,1
2759,Carlos Eduardo Rocha, 9-4-0,"5' 10""",170,"73""",Orthodox,"Jul 12, 1981",1.24,34,1.85,55,0,0,52,1.4
2760,Daniel Roberts, 15-7-0,"5' 10""",170,"74""",Southpaw,"Aug 05, 1980",0.73,20,2.27,46,2.46,44,40,2.5
2761,Luis Rodriguez, 11-2-0,"5' 6""",125,"65""",Orthodox,"May 07, 1999",1.27,37,3.2,54,2,50,100,2
2762,Bec Rawlings, 7-8-0,"5' 6""",125,"64""",Orthodox,"Feb 11, 1989",4.48,42,5.66,57,0.71,40,68,0.4
2763,Victor Reyna, 11-5-0 (1 NC),"5' 11""",170,"74""",Southpaw,"Aug 05, 1986",5.8,63,4.75,42,0,0,100,0
2764,David Roberts, 5-8-0,"6' 1""",170,--,Orthodox,"Nov 15, 1975",0,0,0,0,0,0,0,0
2765,Victor Rodriguez, 7-4-0,"5' 5""",125,"67""",Switch,"Sep 05, 1992",1.59,37,6.11,50,0,0,0,0
2766,Johnny Rhodes, 2-1-0,"6' 0""",210,--,Orthodox,--,0,0,0,0,0,0,0,0
2767,Theo Rlayang, 5-0-0,--,145,--,,"Aug 10, 1994",0,0,0,0,0,0,0,0
2768,Dave Rickels, 18-4-0 (2 NC),"5' 11""",155,--,,"Jan 05, 1989",4.29,59,5.53,42,0,0,25,0
2769,Nick Roehrick, 7-1-0,"6' 2""",205,--,Orthodox,"Jul 06, 1987",2.31,17,6.92,44,0,0,0,0
2770,Marco Polo Reyes, 8-7-0,"5' 11""",155,"71""",Orthodox,"Nov 07, 1984",6,37,5.52,59,0,0,46,0
2771,Bas Rutten, 28-4-1,"6' 1""",205,--,Orthodox,"Feb 24, 1965",5.59,61,2.06,79,0,0,0,0
2772,Leigh Remedios, 18-10-2,"5' 7""",155,--,Orthodox,"Jan 13, 1976",0.75,41,1.36,68,0,0,33,0
2773,Ben Rothwell, 39-13-0,"6' 4""",265,"78""",Orthodox,"Oct 17, 1981",3.71,42,4.57,47,0.68,35,70,0.4
2774,Roosevelt Roberts, 10-2-0 (1 NC),"6' 2""",155,"73""",Orthodox,"Feb 11, 1994",3.03,49,2.27,52,1.75,53,58,1.1
2775,Mike Rhodes, 10-5-0,"6' 1""",170,"74""",Orthodox,"Dec 04, 1989",3.2,39,4.13,64,0.96,33,75,0.5
2776,Mike Rio, 10-5-0,"5' 10""",155,"70""",Orthodox,"Jul 06, 1981",1.68,39,2.99,53,2.58,27,0,1
2777,Jerome Rivera, 10-5-0,"5' 10""",125,"72""",Southpaw,"Apr 22, 1995",3.08,34,2.47,51,0,0,40,0
2778,Kevin Randleman, 17-16-0,"5' 10""",205,--,Orthodox,"Aug 10, 1971",1.26,54,1.12,57,2,56,30,0.8
2779,Andrew Ramm, 4-4-0,"6' 1""",160,--,,--,0,0,0,0,0,0,0,0
2780,Jason Riley, 10-7-0,"6' 6""",245,--,,"Sep 22, 1975",0,0,9.68,33,0,0,50,0
2781,Buddy Roberts, 12-3-0,"6' 2""",185,--,Orthodox,"Oct 17, 1982",2.17,34,2.08,70,0,0,76,0.7
2782,Matt Ramirez, 2-3-0,"5' 5""",125,--,,--,3.03,50,0.67,75,2.53,16,100,0
2783,Joe Riggs, 44-17-0 (1 NC),"6' 0""",185,"70""",Southpaw,"Sep 23, 1982",2.41,51,1.69,57,2.45,55,62,0.6
2784,Dennis Reed, 45-62-1,--,205,--,Orthodox,--,0,0,0,0,0,0,0,0
2785,Jared Rosholt, 14-4-0,"6' 2""",265,"75""",Orthodox,"Aug 04, 1986",2.08,46,1.52,59,1.83,41,66,0.1
2786,Zach Rosol, 3-2-0,--,243,--,,--,0,0,14.21,25,0,0,0,0
2787,Kain Royer, 2-2-0,--,185,--,,--,0,0,1.63,14,0,0,0,4.1
2788,Vagner Rocha, 14-4-0,"5' 10""",155,"73""",Orthodox,"Jun 06, 1982",2.64,42,4.5,48,1.4,33,50,1.9
2789,Paul Rodriguez, 10-9-2,"5' 7""",155,--,Orthodox,--,0.84,100,1.68,68,0,0,50,0
2790,Eddie Ruiz, 1-1-0,"5' 7""",155,--,Orthodox,"Jun 10, 1967",0.2,25,1.4,47,2,12,0,0
2791,Wilson Reis, 23-10-0,"5' 4""",125,"65""",Southpaw,"Jan 06, 1985",1.83,29,3.04,55,5.15,42,47,0.6
2792,Jacob Rosales, 10-5-0,"5' 11""",155,--,Orthodox,"Jul 28, 1995",6.76,49,12,41,0,0,50,1.3
2793,Raou Raou, 0-1-0,"5' 8""",195,--,Orthodox,--,2.01,16,6.75,60,0,0,0,0
2794,Hector Ramirez, 10-6-1,"6' 0""",205,--,Orthodox,"Mar 28, 1976",2.27,41,4.6,56,2.3,55,66,0.5
2795,Kristian Rothaermel, 4-3-0,"6' 0""",205,--,Open Stance,"Jan 31, 1972",0.75,50,2.49,41,0,0,0,0
2796,Abdul Razak Alhassan, 10-4-0,"5' 10""",170,"73""",Orthodox,"Aug 11, 1985",3.71,47,4.24,53,0.53,28,55,0
2797,Justin Robbins, 14-18-1,"5' 5""",135,--,,"Jul 29, 1980",0.67,37,3.2,47,0,0,0,0
2798,Stephen Regman, 9-4-0,"5' 11""",185,"76""",Orthodox,"Aug 05, 1991",1.41,60,4.93,23,3.52,100,0,0
2799,Brad Royster, 1-2-0,--,135,--,,--,0,0,0,0,0,0,0,0
2800,Jeremiah Riggs, 7-8-0,"6' 0""",185,--,,"Dec 17, 1982",0,0,0,0,0,0,0,0
2801,Alex Reyes, 13-3-0,"5' 11""",170,"73""",Orthodox,"Oct 02, 1986",4.56,46,8.35,38,0,0,0,0
2802,Ray Routh, 2-1-0,"5' 8""",185,--,Orthodox,--,0.54,21,3.22,28,2.69,33,0,0
2803,Maria Rios, 2-3-0,"5' 5""",125,--,,"May 31, 1983",2.93,34,4.13,56,2,50,100,0
2804,Johnny Rees, 13-5-0 (1 NC),"6' 0""",170,--,Orthodox,"Oct 21, 1982",3.29,64,0.84,47,1.15,25,50,0
2805,Brandon Royval, 12-5-0,"5' 9""",125,"68""",Southpaw,"Aug 16, 1992",3.77,46,2.88,47,0.79,100,53,2.4
2806,Mike Richman, 18-7-0,"5' 8""",135,--,,"Jun 23, 1985",4.06,44,3.49,43,0,0,76,0
2807,Karol Rosa, 14-3-0,"5' 5""",135,"67""",Orthodox,"Dec 30, 1994",7.73,52,5.51,48,2,60,90,0
2808,Gilbert Rael, 1-3-0,"5' 8""",155,--,,--,0,0,7.46,37,4.86,100,0,0
2809,Yair Rodriguez, 13-2-0 (1 NC),"5' 11""",145,"71""",Orthodox,"Oct 06, 1992",4.33,45,3.13,57,0.9,29,63,0.9
2810,Drako Rodriguez, 7-2-0,"5' 8""",135,"69""",Orthodox,"Jun 16, 1996",2.57,35,2.57,26,2.75,100,0,2.8
2811,Jared Rollins, 8-4-0,"5' 9""",170,--,Orthodox,"Jan 26, 1977",3.33,57,2.41,39,2.5,50,50,1.2
2812,Marion Reneau, 9-7-1,"5' 6""",135,"68""",Orthodox,"Jun 20, 1977",3.29,41,3.37,61,0.66,63,50,0.8
2813,Josh Rafferty, 9-8-0,"6' 0""",170,--,Orthodox,"Jan 06, 1981",0.6,33,3.6,50,0,0,0,9
2814,Jordan Radev, 23-5-0,"5' 7""",185,--,Southpaw,"Sep 28, 1976",1.35,23,2.38,66,0,0,80,0
2815,Andre Roberts, 14-2-1,"6' 2""",345,--,Orthodox,"Feb 24, 1965",0,0,0,0,0,0,0,0
2816,Ray Rodriguez, 16-8-0,"5' 7""",135,"70""",Orthodox,"Dec 10, 1987",0.9,27,3.89,40,1.42,50,44,0
2817,Jordan Rinaldi, 14-7-0,"5' 10""",145,"72""",Orthodox,"Sep 25, 1987",1.56,35,2.32,59,1.45,35,20,1.2
2818,Anthony Ruiz, 33-22-0,"6' 2""",205,--,Orthodox,"Nov 03, 1977",2.56,64,1.67,28,1.43,31,21,0
2819,Karl Reed, 6-1-0,"6' 3""",205,"78""",Orthodox,"Oct 27, 1988",2.04,44,3.84,38,1.06,22,53,0
2820,Brian Rogers, 14-9-0,"5' 11""",185,--,,"Feb 15, 1984",4.79,38,5.76,58,1.22,50,100,0.6
2821,Benji Radach, 21-7-0 (1 NC),"5' 10""",185,--,Orthodox,"Apr 05, 1979",2.62,49,2.31,51,1.06,41,71,0.4
2822,David Rasouri, 2-3-0,"5' 7""",155,--,,--,0,0,0,0,0,0,0,0
2823,Paul Ruiz, 7-4-0,"5' 6""",135,--,,"Jun 23, 1987",1.4,33,1.4,75,0,0,100,20.9
2824,Pedro Rizzo, 20-11-0,"6' 1""",241,--,Orthodox,"May 03, 1974",1.93,34,3.02,50,0.26,28,78,0
2825,Thomas Ramirez, 0-1-0,"6' 1""",410,--,Sideways,--,0,0,0,0,0,0,0,0
2826,Stevie Ray, 23-9-0,"5' 10""",155,"70""",Southpaw,"Mar 25, 1990",3.73,44,2.93,54,0.75,46,55,0.6
2827,Mauricio Rua, 27-12-1,"6' 1""",205,"76""",Orthodox,"Nov 25, 1981",3.57,50,2.71,54,2.12,48,47,0.8
2828,Rodolfo Rubio Perez, 10-16-1,"5' 5""",145,--,Orthodox,"Jan 29, 1987",1.13,36,1,62,2,33,33,0
2829,Gabe Ruediger, 18-8-0,"5' 10""",155,--,Orthodox,"Aug 29, 1977",1.7,31,5.16,41,2.04,11,28,0
2830,Jesse Ronson, 21-10-0 (1 NC),"5' 10""",170,"70""",Southpaw,"Dec 24, 1985",3.54,49,2.99,59,0.63,40,61,0.6
2831,Jonathan Rivera, 4-2-0,--,155,--,,--,4.36,49,3.9,60,0,0,0,0
2832,Jake Rosholt, 12-5-0 (1 NC),"6' 1""",185,--,Orthodox,"Feb 09, 1982",2.68,53,2.33,49,6.51,68,0,1.8
2833,Antony Rea, 33-15-0,"6' 0""",205,--,Orthodox,"Jul 15, 1976",2.89,28,5.42,42,0,0,100,0
2834,Piera Rodriguez, 6-0-0,"5' 3""",115,--,,"Nov 11, 1992",0,0,0,0,0,0,0,0
2835,Brett Rogers, 17-10-0 (1 NC),"6' 5""",265,"81""",Orthodox,"Feb 17, 1981",3.17,44,3.2,46,0,0,58,0
2836,Iony Razafiarison, 2-1-0 (1 NC),"5' 3""",145,--,,"Dec 23, 1984",1.2,42,1.4,53,2,50,75,0
2837,Jimmie Rivera, 23-5-0,"5' 4""",135,"68""",Orthodox,"Jun 29, 1989",4.03,40,3.9,60,0.88,27,92,0.1
2838,Dante Rivera, 16-7-0,"6' 1""",185,--,Southpaw,"Dec 08, 1974",2.27,53,4,25,0,0,16,0
2839,Manuel Rodriguez, 11-5-0,"5' 9""",170,--,Orthodox,"Apr 25, 1985",0.81,33,3.23,38,9.09,75,0,0
2840,Daniel Rodriguez, 14-2-0,"6' 1""",170,"74""",Southpaw,"Dec 31, 1986",7.87,48,5.69,57,1.06,55,78,0.2
2841,Aleksandar Rakic, 14-2-0,"6' 4""",205,"78""",Orthodox,"Feb 06, 1992",4.23,52,2.23,52,0.75,25,90,0.2
2842,Dominick Reyes, 12-3-0,"6' 4""",205,"77""",Southpaw,"Dec 26, 1989",4.77,50,3.73,48,0.36,28,80,0.4
2843,Keith Rockel, 12-4-1,"6' 0""",185,--,Orthodox,--,1.13,73,0.21,66,4.63,75,100,4.6
2844,Ian Rammel, 7-8-0,"6' 0""",185,--,,"Jul 22, 1985",0,0,0,0,0,0,0,0
2845,Duda Santana, 3-1-0,"5' 7""",145,"73""",Orthodox,"Jan 10, 1996",6.01,39,2.72,73,6.44,60,0,0
2846,Dennis Siver, 23-11-0 (1 NC),"5' 6""",145,"70""",Orthodox,"Jan 13, 1979",3.87,32,2.67,65,0.87,32,65,0.3
2847,Wagner Silva, 6-3-0,"6' 0""",170,--,Orthodox,"Feb 07, 1987",1.69,29,2.87,65,0,0,58,0
2848,Nick Serra, 7-3-0,"5' 9""",170,--,Orthodox,"Mar 27, 1978",0,0,1.73,43,1,10,0,2
2849,Thiago Santos, 21-9-0,"6' 2""",205,"76""",Orthodox,"Jan 07, 1984",4.27,48,2.33,55,0.7,38,66,0.1
2850,Antonio Schembri, 5-5-0,"5' 9""",205,--,Orthodox,"Jun 01, 1974",0.72,26,2.12,55,1.31,40,0,0.4
2851,Rick Story, 19-9-0,"5' 9""",170,"71""",Southpaw,"Aug 28, 1984",3.8,41,2.17,62,2.53,48,63,0.9
2852,Adam Smith, 0-3-0,--,--,--,,--,0,0,0,0,0,0,0,0
2853,Ron Sparks, 8-3-0,"6' 5""",265,--,,--,0,0,0,0,0,0,0,0
2854,Eric Steenberg, 5-1-0,--,155,--,,"Jun 22, 1983",0,0,0,0,0,0,0,0
2855,Brandon Sayles, 5-1-0,"6' 5""",265,--,,"Apr 23, 1981",0,0,0,0,0,0,0,0
2856,Gabriel Salinas-Jones, 5-2-1,"6' 1""",245,--,,"Nov 20, 1984",0,0,0,0,0,0,0,0
2857,Sam Spengler, 9-5-0,"5' 11""",185,--,Orthodox,--,3.27,62,3.27,54,1.75,11,75,1.8
2858,Liliya Shakirova, 8-2-0,"5' 4""",125,"65""",Orthodox,"Oct 24, 1991",2.7,30,2.58,74,0,0,0,0
2859,Adam Steele, 0-1-0,--,170,--,,--,0,0,0,0,0,0,0,0
2860,Antonio Silva, 19-12-1,"6' 4""",264,"82""",Orthodox,"Sep 14, 1979",2.89,45,3.09,50,0.82,29,66,0.8
2861,Patrick Smith, 20-17-0,"6' 2""",225,--,Orthodox,"Aug 28, 1963",0,0,0,0,0,0,0,0
2862,Georges St-Pierre, 26-2-0,"5' 11""",185,"76""",Orthodox,"May 19, 1981",3.78,53,1.4,72,4.16,74,83,1.1
2863,Raul Sandoval, 3-3-0,--,130,--,,--,0,0,0,0,0,0,0,0
2864,Yuta Sasaki, 21-6-2,"5' 10""",125,"71""",Southpaw,"Oct 07, 1989",2.16,41,2.5,50,3.03,43,41,1.2
2865,Andrei Semenov, 34-9-2,"6' 0""",185,--,Orthodox,"Jun 17, 1977",0.78,15,2.44,60,1.74,80,55,0.4
2866,Brendan Schaub, 10-5-0,"6' 4""",245,"78""",Orthodox,"Mar 18, 1983",2.92,37,2.22,57,2.32,46,72,0.4
2867,Ivan Serati, 12-4-0,"6' 0""",205,--,Orthodox,--,0.86,26,5.33,29,0,0,0,0
2868,Dan Severn, 101-19-1,"6' 2""",250,--,Southpaw,"Jun 08, 1958",0,0,0,0,0,0,0,0
2869,Justin Scoggins, 11-5-0,"5' 7""",125,"66""",Southpaw,"May 02, 1992",3.56,51,2.16,55,3.42,63,82,0.5
2870,Eric Schwartz, 2-0-0,--,205,--,,--,0,0,0,0,0,0,0,0
2871,Adriano Santos, 0-1-0,--,--,--,,--,0,0,0,0,0,0,0,0
2872,Richie Smullen, 3-1-1,"5' 9""",155,"68""",Orthodox,"Aug 17, 1991",1.98,77,2.26,65,8.49,66,0,0
2873,Joe Slick, 16-5-3,"6' 0""",199,--,Orthodox,"Oct 17, 1977",0,0,0,0,0,0,0,0
2874,Jorge Santiago, 25-12-0,"6' 1""",170,"75""",Orthodox,"Oct 09, 1980",1.69,35,2.62,56,0.58,30,52,0.8
2875,Julija Stoliarenko, 9-5-1,"5' 7""",135,"66""",,"Apr 08, 1993",2.1,34,3.87,50,0,0,66,0.5
2876,Boston Salmon, 6-3-0,"5' 9""",135,"69""",Southpaw,"Nov 20, 1990",4.13,37,7.75,59,0,0,100,0
2877,Landon Showalter, 11-19-1,"6' 0""",185,--,,"Jun 14, 1976",0,0,0,0,0,0,0,0
2878,Rafael Silva, 28-6-0,"5' 7""",135,--,,"Mar 20, 1985",0.67,50,0.73,67,0,0,25,1
2879,Kyle Sturgeon, 0-1-0,"6' 3""",225,--,Switch,--,0,0,0,0,0,0,0,0
2880,Floyd Sword, 12-3-0,"6' 0""",185,--,Orthodox,"Aug 24, 1976",0.78,42,1.57,40,0,0,33,0
2881,Ricky Simon, 18-3-0,"5' 6""",135,"69""",Orthodox,"Aug 31, 1992",3.08,42,3.13,64,6.93,54,72,0.4
2882,Alexander Sarnavskiy, 35-6-0,"5' 11""",155,--,,"Jan 17, 1989",1.43,66,2.06,42,0,0,75,0
2883,Kestutis Smirnovas, 24-8-2,"5' 10""",200,--,Orthodox,--,4.95,52,5.05,54,1.55,50,100,1.6
2884,Xavier Siller, 5-5-0,"5' 5""",125,--,,"Jun 06, 1994",1.02,36,1.53,57,3.83,100,0,0
2885,Ryan Spann, 19-6-0,"6' 5""",205,"79""",Orthodox,"Aug 24, 1991",3.55,45,3.45,47,1.72,41,60,1.7
2886,Pat Sabatini, 14-3-0,"5' 8""",145,"70""",Orthodox,"Nov 09, 1990",1.73,57,1.27,62,1,20,0,1
2887,Denis Sobolev, 4-7-0,"6' 3""",216,--,Orthodox,--,0,0,5.45,33,0,0,0,0
2888,Pete Sabala, 3-15-0,--,135,--,,--,0,0,0,0,0,0,0,0
2889,Alex Serdyukov, 8-5-0,"6' 2""",170,"74""",Orthodox,"May 24, 1980",4.94,48,3.1,46,1.84,55,67,1.8
2890,Joseph Sandoval, 7-7-0,"5' 7""",135,--,Southpaw,"May 11, 1986",1.82,42,12.12,60,0,0,0,0
2891,Robert Sanchez, 8-2-0,"5' 6""",125,"66""",Orthodox,"Mar 05, 1986",0.96,40,1.78,46,3.61,62,50,0.7
2892,Jamey Simmons, 7-3-0,"5' 6""",145,"70""",Orthodox,"Sep 11, 1992",0.52,50,2.08,50,0,0,100,0
2893,Mario Souza, 12-1-0,"6' 3""",185,"79""",Orthodox,"Oct 20, 1996",3.4,60,0.93,54,0,0,0,1
2894,Anthony Smith, 35-16-0,"6' 4""",205,"76""",Orthodox,"Jul 26, 1988",3,47,4.36,42,0.47,28,47,0.7
2895,Wade Shipp, 11-5-0,"6' 3""",245,--,Orthodox,"Feb 09, 1975",4.29,86,2.14,0,0,0,75,0
2896,Walter Smith-Cotito, 4-5-0 (1 NC),"5' 8""",135,--,,--,2.95,36,3.53,68,2.16,33,57,0
2897,Cory Sandhagen, 14-2-0,"5' 11""",135,"70""",Switch,"Apr 20, 1992",6.85,48,3.89,59,1.07,50,30,0.5
